"","device","t","command","argument"
"1","AS",0,"GCODE","M203Z20"
"2","AS",1,"NOKEEPALIVE",""
"3","AS",2,"ENABLEPLUNGER",""
"4","AS",3,"ZEROPLUNGER",""
"5","AS",4,"HOME",""
"6","AS",5,"SYRINGEVOL","0"
"7","AS",7,"SYRINGEVOL","2"
"8","AS",9,"SYRINGEVOL","0"
"9","AS",9,"WAITCOMPLETE",""
"10","AS",10,"SAMPLE",""
"11","AS",11,"SYRINGEVOL","1.5"
"12","AS",11,"PAUSE","5"
"13","AS",12,"SYRINGEVOL","0"
"14","AS",13,"SYRINGEVOL","2.5"
"15","AS",11,"PAUSE","15"
"16","AS",14,"ABOVEGCINJECTION",""
"17","AS",15,"GCINJECTION",""
"18","AS",16,"SYRINGEVOL","0"
"19","AS",17,"WAITCOMPLETE",""
"20","SHM",18,"GCSTART",""
"21","AS",19,"ABOVEGCINJECTION",""
"22","AS",20,"HOME",""
