"","device","t","command","argument","completed"
"1","AS",1,"NOKEEPALIVE",NA,1
"2","AS",2,"ENABLEPLUNGER",NA,1
"3","AS",3,"ZEROPLUNGER",NA,1
"4","AS",4,"HOME",NA,1
"5","AS",5,"SYRINGEVOL",0,1
"6","AS",7,"SYRINGEVOL",2,1
"7","AS",9,"SYRINGEVOL",0,1
"8","AS",9,"WAITCOMPLETE",NA,0
"9","AS",10,"SAMPLE",NA,0
"10","AS",11,"SYRINGEVOL",1.5,0
"11","AS",11,"PAUSE",5,0
"12","AS",12,"SYRINGEVOL",0,0
"13","AS",13,"SYRINGEVOL",2.5,0
"14","AS",11,"PAUSE",15,0
"15","AS",14,"ABOVEGCINJECTION",NA,0
"16","AS",15,"GCINJECTION",NA,0
"17","AS",16,"SYRINGEVOL",0,0
"18","AS",17,"WAITCOMPLETE",NA,0
"19","AS",19,"ABOVEGCINJECTION",NA,0
"20","AS",20,"HOME",NA,0
